sitio;temporada;fecha;hora;tratamiento;unidad;codigo;bar
rio_claro;2022-2023;2/2/2023;18:00;T1;2;H67A6;19.81
rio_claro;2022-2023;2/2/2023;18:00;T1;3;H66A5;18.54
rio_claro;2022-2023;2/2/2023;18:00;T4;3;H61A6;36.42
rio_claro;2022-2023;2/2/2023;18:00;T4;1;H62A8;17.98
rio_claro;2022-2023;2/2/2023;18:00;T2;1;H56A6;24.96
rio_claro;2022-2023;2/2/2023;18:00;T2;3;H55A8;24.88
rio_claro;2022-2023;2/2/2023;19:00;T3;1;H72A5;21.43
rio_claro;2022-2023;2/2/2023;19:00;T3;2;H72A6;25.39
rio_claro;2022-2023;2/2/2023;19:00;T3;3;H72A7;24.03
rio_claro;2022-2023;2/2/2023;19:00;T1;1;H67A5;15.42
rio_claro;2022-2023;2/2/2023;19:00;T1;2;H67A6;17.27
rio_claro;2022-2023;2/2/2023;19:00;T1;3;H66A5;18.03
rio_claro;2022-2023;2/2/2023;19:00;T4;3;H61A6;33.09
rio_claro;2022-2023;2/2/2023;19:00;T4;1;H62A8;13.23
rio_claro;2022-2023;2/2/2023;19:00;T2;1;H56A6;20.95
rio_claro;2022-2023;2/2/2023;19:00;T2;3;H55A8;20.31
rio_claro;2022-2023;2/2/2023;20:00;T3;1;H72A5;20.19
rio_claro;2022-2023;2/2/2023;20:00;T3;2;H72A6;21.32
rio_claro;2022-2023;2/2/2023;20:00;T3;3;H72A7;22.04
rio_claro;2022-2023;2/2/2023;20:00;T1;1;H67A5;14.45
rio_claro;2022-2023;2/2/2023;20:00;T1;2;H67A6;14.71
rio_claro;2022-2023;2/2/2023;20:00;T1;3;H66A5;13.66
rio_claro;2022-2023;2/2/2023;20:00;T4;3;H61A6;30.26
rio_claro;2022-2023;2/2/2023;20:00;T4;1;H62A8;12.51
rio_claro;2022-2023;2/2/2023;20:00;T2;1;H56A6;19.93
rio_claro;2022-2023;2/2/2023;20:00;T2;3;H55A8;19.51
